color,color_coord,music,trial_number,type
"['LR', 'LO', 'DO', 'SB']","{'LR': [250.0, 119.5, 143.25], 'LO': [250.0, 171.5, 114.75], 'DO': [137.5, 80.5, 0.0], 'SB': [59.8039215, 123.5294118, 250.0]}",Dubstep,1,target
"['DO', 'A2', 'MB', 'SH']","{'DO': [137.5, 80.5, 0.0], 'A2': [157.75, 157.75, 157.75], 'MB': [114.7058823, 130.3921568, 219.6078433], 'SH': [141.25, 250.0, 0.0]}",Mozart,2,target
"['MO', 'LC', 'DR', 'SR']","{'MO': [222.5, 130.5, 64.75], 'LC': [104.9019608, 215.6862745, 232.3529413], 'DR': [174.5, 0.0, 5.5], 'SR': [250.0, 0.0, 44.0]}",Trance,3,target
"['MO', 'BK', 'A2', 'MB']","{'MO': [222.5, 130.5, 64.75], 'BK': [0.0, 0.0, 0.0], 'A2': [157.75, 157.75, 157.75], 'MB': [114.7058823, 130.3921568, 219.6078433]}",Smooth Jazz,4,target
"['DB', 'LO', 'DY', 'A2']","{'DB': [14.70588225, 65.6862745, 164.7058823], 'LO': [250.0, 171.5, 114.75], 'DY': [137.5, 137.5, 0.0], 'A2': [157.75, 157.75, 157.75]}",Jazz,5,target
"['SR', 'A3', 'DO', 'SH']","{'SR': [250.0, 0.0, 44.0], 'A3': [197.0, 197.0, 197.0], 'DO': [137.5, 80.5, 0.0], 'SH': [141.25, 250.0, 0.0]}",upper_right,6,catch
"['LO', 'A2', 'DB', 'SH']","{'LO': [250.0, 171.5, 114.75], 'A2': [157.75, 157.75, 157.75], 'DB': [14.70588225, 65.6862745, 164.7058823], 'SH': [141.25, 250.0, 0.0]}",upper_left,7,catch
"['A2', 'SB', 'DY', 'LH']","{'A2': [157.75, 157.75, 157.75], 'SB': [59.8039215, 123.5294118, 250.0], 'DY': [137.5, 137.5, 0.0], 'LH': [197.0, 250.0, 127.5]}",Alternative,8,target
"3,4,5",XX,en-q2,9,assess
"['MO', 'DC', 'A2', 'MB']","{'MO': [222.5, 130.5, 64.75], 'DC': [3.92156875, 130.3921568, 150.0], 'A2': [157.75, 157.75, 157.75], 'MB': [114.7058823, 130.3921568, 219.6078433]}",Indie,10,target
"['LO', 'A2', 'DB', 'SH']","{'LO': [250.0, 171.5, 114.75], 'A2': [157.75, 157.75, 157.75], 'DB': [14.70588225, 65.6862745, 164.7058823], 'SH': [141.25, 250.0, 0.0]}",Stravinsky,11,target
"['MB', 'A1', 'DY', 'SY']","{'MB': [114.7058823, 130.3921568, 219.6078433], 'A1': [100.0, 100.0, 100.0], 'DY': [137.5, 137.5, 0.0], 'SY': [250.0, 250.0, 0.0]}",Electronic,12,target
"['DH', 'MB', 'SH', 'MY']","{'DH': [99.0, 137.5, 0.0], 'MB': [114.7058823, 130.3921568, 219.6078433], 'SH': [141.25, 250.0, 0.0], 'MY': [214.75, 192.25, 47.0]}",Progressive House,13,target
"doctor,dentist,psychiatrist",XX,en-q4,14,assess
"['DH', 'A2', 'LG', 'SY']","{'DH': [99.0, 137.5, 0.0], 'A2': [157.75, 157.75, 157.75], 'LG': [106.862745, 232.3529413, 180.3921568], 'SY': [250.0, 250.0, 0.0]}",Folk,15,target
"['DB', 'DY', 'MY', 'A2']","{'DB': [14.70588225, 65.6862745, 164.7058823], 'DY': [137.5, 137.5, 0.0], 'MY': [214.75, 192.25, 47.0], 'A2': [157.75, 157.75, 157.75]}",Dixieland,16,target
"['MB', 'DG', 'LH', 'SP']","{'MB': [114.7058823, 130.3921568, 219.6078433], 'DG': [0.0, 117.6470588, 88.235294], 'LH': [197.0, 250.0, 127.5], 'SP': [200.0, 0.0, 250.0]}",Classic Rock,17,target
"['MY', 'DP', 'A3', 'SY']","{'MY': [214.75, 192.25, 47.0], 'DP': [113.7254903, 0.0, 145.0980393], 'A3': [197.0, 197.0, 197.0], 'SY': [250.0, 250.0, 0.0]}",Hindustani Sitar,18,target
"['DH', 'LR', 'SH', 'MB']","{'DH': [99.0, 137.5, 0.0], 'LR': [250.0, 119.5, 143.25], 'SH': [141.25, 250.0, 0.0], 'MB': [114.7058823, 130.3921568, 219.6078433]}",Salsa,19,target
"['SH', 'SR', 'A2', 'LG']","{'SH': [141.25, 250.0, 0.0], 'SR': [250.0, 0.0, 44.0], 'A2': [157.75, 157.75, 157.75], 'LG': [106.862745, 232.3529413, 180.3921568]}",Balkan Folk,20,target
"['DY', 'A1', 'LH', 'SP']","{'DY': [137.5, 137.5, 0.0], 'A1': [100.0, 100.0, 100.0], 'LH': [197.0, 250.0, 127.5], 'SP': [200.0, 0.0, 250.0]}",Bach,21,target
"['DY', 'A1', 'MY', 'SH']","{'DY': [137.5, 137.5, 0.0], 'A1': [100.0, 100.0, 100.0], 'MY': [214.75, 192.25, 47.0], 'SH': [141.25, 250.0, 0.0]}",Big Band,22,target
"['MO', 'BK', 'A2', 'MB']","{'MO': [222.5, 130.5, 64.75], 'BK': [0.0, 0.0, 0.0], 'A2': [157.75, 157.75, 157.75], 'MB': [114.7058823, 130.3921568, 219.6078433]}",Piano,23,target
"pebble,cat,frog",XX,en-q3,24,assess
"['A1', 'MY', 'SH', 'SO']","{'A1': [100.0, 100.0, 100.0], 'MY': [214.75, 192.25, 47.0], 'SH': [141.25, 250.0, 0.0], 'SO': [250.0, 100.0, 0.0]}",Ska,25,target
"New York,Boston,Chicago",XX,en-q1,26,assess
"['LR', 'SO', 'SH', 'A3']","{'LR': [250.0, 119.5, 143.25], 'SO': [250.0, 100.0, 0.0], 'SH': [141.25, 250.0, 0.0], 'A3': [197.0, 197.0, 197.0]}",Heavy Metal,27,target
