color,color_coord,music,trial_number,type
"['MY', 'DP', 'A3', 'SY']","{'MY': [214.75, 192.25, 47.0], 'DP': [113.7254903, 0.0, 145.0980393], 'A3': [197.0, 197.0, 197.0], 'SY': [250.0, 250.0, 0.0]}",Hindustani Sitar,1,target
"['DB', 'DY', 'MY', 'A2']","{'DB': [14.70588225, 65.6862745, 164.7058823], 'DY': [137.5, 137.5, 0.0], 'MY': [214.75, 192.25, 47.0], 'A2': [157.75, 157.75, 157.75]}",Dixieland,2,target
"['LO', 'A2', 'DB', 'SH']","{'LO': [250.0, 171.5, 114.75], 'A2': [157.75, 157.75, 157.75], 'DB': [14.70588225, 65.6862745, 164.7058823], 'SH': [141.25, 250.0, 0.0]}",upper_left,3,catch
"['MO', 'DC', 'A2', 'MB']","{'MO': [222.5, 130.5, 64.75], 'DC': [3.92156875, 130.3921568, 150.0], 'A2': [157.75, 157.75, 157.75], 'MB': [114.7058823, 130.3921568, 219.6078433]}",Indie,4,target
"['DB', 'LO', 'DY', 'A2']","{'DB': [14.70588225, 65.6862745, 164.7058823], 'LO': [250.0, 171.5, 114.75], 'DY': [137.5, 137.5, 0.0], 'A2': [157.75, 157.75, 157.75]}",Jazz,5,target
"['MO', 'BK', 'A2', 'MB']","{'MO': [222.5, 130.5, 64.75], 'BK': [0.0, 0.0, 0.0], 'A2': [157.75, 157.75, 157.75], 'MB': [114.7058823, 130.3921568, 219.6078433]}",Piano,6,target
"3,4,5",XX,en-q2,7,assess
"['DY', 'A1', 'LH', 'SP']","{'DY': [137.5, 137.5, 0.0], 'A1': [100.0, 100.0, 100.0], 'LH': [197.0, 250.0, 127.5], 'SP': [200.0, 0.0, 250.0]}",Bach,8,target
"['DH', 'MB', 'SH', 'MY']","{'DH': [99.0, 137.5, 0.0], 'MB': [114.7058823, 130.3921568, 219.6078433], 'SH': [141.25, 250.0, 0.0], 'MY': [214.75, 192.25, 47.0]}",Progressive House,9,target
"['A1', 'MY', 'SH', 'SO']","{'A1': [100.0, 100.0, 100.0], 'MY': [214.75, 192.25, 47.0], 'SH': [141.25, 250.0, 0.0], 'SO': [250.0, 100.0, 0.0]}",Ska,10,target
"['LR', 'LO', 'DO', 'SB']","{'LR': [250.0, 119.5, 143.25], 'LO': [250.0, 171.5, 114.75], 'DO': [137.5, 80.5, 0.0], 'SB': [59.8039215, 123.5294118, 250.0]}",Dubstep,11,target
"['MB', 'A1', 'DY', 'SY']","{'MB': [114.7058823, 130.3921568, 219.6078433], 'A1': [100.0, 100.0, 100.0], 'DY': [137.5, 137.5, 0.0], 'SY': [250.0, 250.0, 0.0]}",Electronic,12,target
"['MB', 'DG', 'LH', 'SP']","{'MB': [114.7058823, 130.3921568, 219.6078433], 'DG': [0.0, 117.6470588, 88.235294], 'LH': [197.0, 250.0, 127.5], 'SP': [200.0, 0.0, 250.0]}",Classic Rock,13,target
